,1. open,2. high,3. low,4. close,5. volume
2024-09-26 19:58:00,223.7700,223.7800,223.7700,223.7800,45
2024-09-26 19:56:00,223.5700,223.5700,223.5700,223.5700,13
2024-09-26 19:50:00,223.7799,223.7799,223.7799,223.7799,1
2024-09-26 19:49:00,223.7700,223.7700,223.7700,223.7700,37
2024-09-26 19:48:00,223.7500,223.7800,223.7500,223.7800,310
2024-09-26 19:45:00,223.7600,223.7600,223.7600,223.7600,1
2024-09-26 19:43:00,223.7600,223.7600,223.7500,223.7500,2
2024-09-26 19:41:00,223.2000,223.2000,223.2000,223.2000,43
2024-09-26 19:36:00,223.7800,223.7800,223.7800,223.7800,1
2024-09-26 19:34:00,223.7300,223.7300,223.7300,223.7300,2
2024-09-26 19:31:00,223.5600,223.5600,223.5600,223.5600,5
2024-09-26 19:29:00,223.5600,223.5600,223.5600,223.5600,6
2024-09-26 19:27:00,223.7600,223.7600,223.7600,223.7600,1
2024-09-26 19:21:00,223.7600,223.7600,223.7600,223.7600,15
2024-09-26 19:20:00,223.4764,223.4764,223.4764,223.4764,50
2024-09-26 19:17:00,223.7800,223.7800,223.5600,223.5600,3
2024-09-26 19:14:00,223.6800,223.6800,223.6800,223.6800,15
2024-09-26 19:05:00,223.5500,223.5500,223.5500,223.5500,2
2024-09-26 19:00:00,223.4300,223.4300,223.4300,223.4300,453517
2024-09-26 18:55:00,223.7800,223.7800,223.7800,223.7800,2
2024-09-26 18:54:00,223.5000,223.5500,223.5000,223.5500,30
2024-09-26 18:43:00,223.5000,223.5000,223.5000,223.5000,10
2024-09-26 18:37:00,223.5000,223.5300,223.5000,223.5300,8
2024-09-26 18:36:00,223.7800,223.7800,223.3810,223.7400,66
2024-09-26 18:33:00,223.7500,223.7500,223.7500,223.7500,15
2024-09-26 18:32:00,223.7600,223.7600,223.7600,223.7600,15
2024-09-26 18:30:00,223.4300,223.4300,223.3600,223.3600,453532
2024-09-26 18:29:00,223.7800,223.7800,223.7800,223.7800,1
2024-09-26 18:28:00,223.7590,223.7590,223.7590,223.7590,1000
2024-09-26 18:24:00,223.7500,223.7500,223.7500,223.7500,7
2024-09-26 18:22:00,223.3800,223.3800,223.3800,223.3800,1
2024-09-26 18:21:00,223.6000,223.7800,223.6000,223.7800,100
2024-09-26 18:18:00,223.6000,223.6000,223.6000,223.6000,1
2024-09-26 18:16:00,223.6000,223.6000,223.6000,223.6000,1
2024-09-26 18:15:00,223.5900,223.6000,223.5900,223.6000,13
2024-09-26 18:10:00,223.6300,223.7800,223.5900,223.6000,166
2024-09-26 18:01:00,223.5900,223.5900,223.5900,223.5900,2
2024-09-26 17:57:00,223.5100,223.5100,223.4000,223.4000,2
2024-09-26 17:56:00,223.5900,223.5900,223.3950,223.3950,30
2024-09-26 17:53:00,223.5900,223.5900,223.5900,223.5900,20
2024-09-26 17:51:00,223.5800,223.5900,223.5100,223.5900,131
2024-09-26 17:50:00,223.5800,223.5800,223.5800,223.5800,71
2024-09-26 17:49:00,223.5800,223.5800,223.5800,223.5800,5
