ticker,price,change_amount,change_percentage,volume
COOTW,0.0237,0.0125,111.6071%,3218
DUO,1.07,0.5604,109.9686%,255900616
BSLKW,0.06,0.0303,102.0202%,800
NLSPW,0.0199,0.0098,97.0297%,1
SOAR,0.51,0.23,82.1429%,10421748
TLGYW,0.0504,0.0224,80.0%,36436
TBIO,3.9749,1.6549,71.3319%,25760913
ATGL,3.68,1.53,71.1628%,14109862
SRZNW,0.0199,0.0081,68.6441%,156243
ECXWW,0.0177,0.0072,68.5714%,5153
TOIIW,0.0178,0.0066,58.9286%,5976
ALUR+,0.055,0.0199,56.6952%,22423
EVTL+,0.0307,0.0107,53.5%,19352
BKSY+,0.0399,0.0139,53.4615%,218076
KTTA,5.85,2.005,52.1456%,56611049
PDYNW,0.03,0.0095,46.3415%,4396
HTOOW,0.057,0.017,42.5%,6104
STSSW,0.0703,0.0203,40.6%,800
SNAXW,0.0098,0.0028,40.0%,29542
CNEY,0.5799,0.1649,39.7349%,100911765
