ticker,price,change_amount,change_percentage,volume
CEADW,0.0064,-0.0113,-63.8418%,6000
MITAW,0.05,-0.06,-54.5455%,1300
BCGWW,0.035,-0.024,-40.678%,3100
BROGW,0.0024,-0.0016,-40.0%,200
VSTEW,0.0432,-0.0267,-38.1974%,5311
FAASW,0.151,-0.0839,-35.7173%,3454
TDW+,0.38,-0.2,-34.4828%,4164
PERF+,0.0405,-0.0196,-32.6123%,39786
SVMHW,0.0101,-0.0048,-32.2148%,12860
SVREW,0.035,-0.0161,-31.5068%,35400
TCBPW,0.0207,-0.0093,-31.0%,143050
GOVXW,0.145,-0.065,-30.9524%,30524
BFRGW,0.286,-0.114,-28.5%,300
RYDE,0.825,-0.325,-28.2609%,13213645
IBG,2.92,-1.08,-27.0%,480944
TVGNW,0.013,-0.0047,-26.5537%,219173
HYMCL,0.0207,-0.0072,-25.8065%,5134
IVCBW,0.0112,-0.0037,-24.8322%,5650
SYTAW,0.0363,-0.0118,-24.5322%,1510
AEAEW,0.0151,-0.0049,-24.5%,37773
